folioviv,foliohog,clave,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,ero_1,ero_2,ero_3,ero_4,ero_5,ero_6,ero_tri
100023301,1,Q003,8,7,6,5,4,3,750,750,750,750,750,750,2201.08
100023301,1,Q005,8,7,6,5,4,3,5000,5000,0,0,0,0,4891.3
100023301,1,Q002,8,7,6,5,4,3,15000,0,0,0,0,0,7336.95
100023304,1,Q004,8,7,6,5,4,3,50,0,0,0,8000,0,3937.49
100050502,1,Q004,8,7,6,5,4,3,2000,2000,2000,2000,2000,2000,5869.56
100055501,1,Q005,8,7,6,5,4,3,1744,1744,544,544,544,544,2770.43
100075702,1,Q004,9,8,7,6,5,4,5000,5000,5000,5000,5000,5000,14754.09
100137402,1,Q002,8,7,6,5,4,3,2500,2500,2500,2500,2500,2500,7336.95
100137402,1,Q004,8,7,6,5,4,3,3000,3000,3000,3000,3000,3000,8804.34
100149803,1,Q003,9,8,7,6,5,4,600,600,600,600,600,600,1770.49
100149806,1,Q003,9,8,7,6,5,4,600,600,600,600,600,600,1770.49
100150006,1,Q003,10,9,8,7,6,5,7000,7000,7000,7000,6000,7000,20054.34
100152306,1,Q003,8,7,6,5,4,3,1200,0,2000,0,0,0,1565.21
100158503,1,Q003,8,7,6,5,4,3,1000,1000,1000,1000,1000,1000,2934.78
100161704,1,Q003,9,8,7,6,5,4,500,500,500,500,500,500,1475.4
100161705,1,Q003,9,8,7,6,5,4,10000,10000,10000,10000,10000,10000,29508.19
100164904,1,Q002,10,9,8,7,6,5,2000,0,0,0,0,0,978.26
100164905,1,Q005,10,9,8,7,6,5,500,500,500,500,500,0,1222.82
100164905,1,Q002,10,9,8,7,6,5,2000,2000,2000,2000,2000,0,4891.3
100209601,1,Q003,9,8,7,6,5,4,1500,1500,0,0,0,0,1475.4
100223804,1,Q004,9,8,7,6,5,4,600,600,600,600,600,600,1770.49
100223806,1,Q003,9,8,7,6,5,4,132,132,132,132,132,132,389.5
100230004,1,Q003,10,9,8,7,6,5,3300,3300,3300,3300,3300,3300,9684.78
100293604,1,Q003,9,8,7,6,5,4,6000,6000,6000,6000,6000,6000,17704.91
100293604,1,Q004,9,8,7,6,5,4,2000,2000,2000,2000,1000,1000,4918.03
100300403,1,Q003,8,7,6,5,4,3,2127,3041,1804,2542,2700,1257,6589.07
100300404,1,Q003,9,8,7,6,5,4,800,800,800,800,800,800,2347.82
100300405,1,Q003,8,7,6,5,4,3,3000,3000,3150,3300,3000,3000,9024.45
100300406,1,Q003,9,8,7,6,5,4,80000,80000,80000,80000,80000,80000,234782.6
100385906,1,Q003,10,9,8,7,6,5,8000,6000,7000,5000,1000,6000,16141.3
100386701,1,Q003,9,8,7,6,5,4,16000,16000,16000,16000,16000,16000,47213.11
100386703,1,Q003,9,8,7,6,5,4,8000,8000,8000,8000,8000,8000,23606.55
100386704,1,Q003,9,8,7,6,5,4,20000,20000,20000,20000,20000,20000,59016.39
100386705,1,Q003,9,8,7,6,5,4,20000,20000,20000,20000,20000,20000,59016.39
100386706,1,Q003,9,8,7,6,5,4,5000,5000,5000,5000,5000,5000,14754.09
100404202,1,Q003,7,6,5,4,3,2,12000,12000,12000,12000,12000,12000,35801.1
100415203,1,Q003,7,6,5,4,3,2,5000,5000,5000,5000,5000,5000,14917.12
100417402,1,Q003,8,7,6,5,4,3,8000,8000,8000,8000,8000,8000,23478.26
100417405,1,Q003,8,7,6,5,4,3,14000,14000,14000,14000,14000,14000,41086.95
100417406,1,Q003,8,7,6,5,4,3,9000,9000,9000,9000,9000,9000,26413.04
100420401,1,Q004,8,7,6,5,4,3,5000,5000,5000,5000,5000,5000,14673.91
100420404,1,Q003,10,9,8,7,6,5,2000,2200,1900,2000,2000,1950,5894.02
100420404,1,Q004,10,9,8,7,6,5,2000,2000,2000,2000,2000,2000,5869.56
100429803,1,Q003,9,8,7,6,5,4,1600,200,200,200,200,200,1278.68
100429804,1,Q004,9,8,7,6,5,4,3800,3800,3800,3800,3800,3800,11213.11
100429804,1,Q003,9,8,7,6,5,4,1100,1100,0,0,0,0,1081.96
100459305,1,Q002,8,7,6,5,4,3,0,0,800,800,800,0,1173.91
100480806,1,Q002,9,8,7,6,5,4,4000,4000,4000,4000,4000,4000,11803.27
100497002,1,Q003,10,9,8,7,6,5,7500,11000,11000,11000,11000,11000,30570.65
100525905,1,Q004,10,9,8,7,6,5,500,500,500,500,0,0,978.26
100525905,1,Q011,10,9,8,7,6,5,1600,1600,1600,1600,1600,1600,4695.65
100528401,1,Q004,8,7,6,5,4,3,800,800,800,800,0,0,1565.21
100528406,1,Q003,8,7,6,5,4,3,3200,3200,3200,3200,3200,3200,9391.3
100545601,1,Q003,9,8,7,6,5,4,2000,2000,2000,2000,2000,2000,5901.63
100545604,1,Q004,9,8,7,6,5,4,4000,4000,5000,4000,4000,5000,12786.88
100548805,1,Q004,9,8,7,6,5,4,280,280,0,0,0,0,275.4
100549706,1,Q005,9,8,7,6,5,4,6600,0,0,0,0,0,3245.9
100549706,1,Q003,9,8,7,6,5,4,1500,1500,1500,1500,1500,1500,4426.22
100549706,1,Q004,9,8,7,6,5,4,3500,3500,0,0,0,0,3442.62
100551906,1,Q002,10,9,8,7,6,5,3700,3700,3700,3700,3700,3700,10858.69
100554206,1,Q011,7,6,5,4,3,2,1900,1520,1520,1900,1520,1520,4912.7
100556402,1,Q004,8,7,6,5,4,3,3000,3000,3000,3000,3000,0,7336.95
100556402,1,Q003,8,7,6,5,4,3,1200,5000,1200,1200,1200,1200,5380.43
100556403,1,Q003,8,7,6,5,4,3,637,0,0,0,0,0,311.57
100556404,1,Q004,8,7,6,5,4,3,1904,1904,1904,1904,1904,1904,5587.82
100556406,1,Q002,8,7,6,5,4,3,0,0,0,5000,0,0,2445.65
100572302,1,Q003,8,7,6,5,4,3,7000,7000,7000,7000,7000,7000,20543.47
100572305,1,Q003,8,7,6,5,4,3,150000,150000,150000,150000,150000,150000,440217.39
100573501,1,Q003,8,7,6,5,4,3,7500,7500,7500,7500,7500,7500,22010.86
100573502,1,Q003,8,7,6,5,4,3,30000,30000,30000,18000,30000,10000,72391.3
100573504,1,Q003,8,7,6,5,4,3,30000,30000,30000,30000,30000,30000,88043.47
100573506,1,Q003,8,7,6,5,4,3,50000,50000,50000,50000,50000,0,122282.6
100574706,1,Q003,9,8,7,6,5,4,0,2000,0,0,0,0,983.6
100582903,1,Q003,10,9,8,7,6,5,2800,2800,2800,2800,2800,2800,8217.39
100582904,1,Q003,10,9,8,7,6,5,1200,1200,1200,1200,1200,1200,3521.73
100582905,1,Q003,10,9,8,7,6,5,4000,4000,4000,4000,4000,4000,11739.13
100594002,1,Q011,10,9,8,7,6,5,3000,3000,3000,3000,3000,3000,8804.34
100600304,1,Q003,8,7,6,5,4,3,8000,8000,8000,8000,8000,8000,23478.26
100600304,1,Q005,8,7,6,5,4,3,6400,6400,6400,6400,6400,6400,18782.6
100600305,1,Q003,8,7,6,5,4,3,20000,20000,20000,20000,20000,20000,58695.65
100609201,1,Q003,7,6,5,4,3,2,4370,5963,4580,5220,4916,5773,15325.85
100609205,1,Q003,7,6,5,4,3,2,7000,0,0,0,0,0,3480.66
100609205,1,Q004,7,6,5,4,3,2,50000,0,50000,0,0,0,49723.75
100614401,1,Q004,8,7,6,5,4,3,3800,3800,3800,3800,3800,3800,11152.17
100622502,1,Q003,8,7,6,5,4,3,0,3000,0,0,2000,0,2445.65
100622504,1,Q004,8,7,6,5,4,3,400,400,400,400,400,400,1173.91
100625701,1,Q003,9,8,7,6,5,4,1500,1500,1500,1500,1500,1500,4426.22
100627905,1,Q004,10,9,8,7,6,5,6000,6000,6000,6000,6000,6000,17608.69
100627905,1,Q005,10,9,8,7,6,5,2000,1000,1000,1000,0,0,2445.65
100630206,1,Q011,8,7,6,5,4,3,3837,3837,3837,3837,3837,3837,11447.4
100630206,1,Q003,8,7,6,5,4,3,6000,6000,6000,6000,6000,6000,17900.55
100643401,1,Q011,8,7,6,5,4,3,2400,3000,2400,3000,2400,2400,7630.43
100643402,1,Q004,9,8,7,6,5,4,1000,1000,1000,1000,1000,1000,2934.78
100643403,1,Q003,9,8,7,6,5,4,1500,1500,1500,1500,1500,1500,4402.17
100643405,1,Q002,8,7,6,5,4,3,4000,4000,4000,4000,4000,4000,11739.13
100643405,1,Q003,8,7,6,5,4,3,15000,15000,15000,15000,15000,15000,44021.73
100643406,1,Q004,8,7,6,5,4,3,1500,1500,1500,1500,1500,1500,4402.17
100661602,1,Q003,9,8,7,6,5,4,8000,8000,8000,8000,8000,8000,23606.55
100661605,1,Q003,9,8,7,6,5,4,2400,2400,2400,2400,2400,2400,7081.96
100672001,1,Q003,10,9,8,7,6,5,9000,6000,8000,7000,7000,5000,20543.47
100672002,1,Q003,10,9,8,7,6,5,5000,5000,4000,4000,4000,4000,12717.39
100692004,1,Q003,10,9,8,7,6,5,30000,20000,10000,10000,10000,10000,44021.73
100692005,1,Q003,10,9,8,7,6,5,1500,1500,1500,1500,1500,1500,4402.17
100757501,1,Q004,8,7,6,5,4,3,4000,4000,4000,4000,4000,4000,11739.13
100757502,1,Q004,8,7,6,5,4,3,5000,5000,5000,5000,5000,5000,14673.91
100757504,1,Q004,8,7,6,5,4,3,1600,1650,1700,1750,1800,1850,5062.49
100758702,1,Q003,10,9,8,7,6,5,500,500,500,500,500,500,1475.4
100780303,1,Q003,8,7,6,5,4,3,20000,20000,6000,6000,6000,6000,31304.34
100780306,1,Q003,8,7,6,5,4,3,15000,5000,5000,5000,5000,5000,19565.21
100780306,1,Q004,8,7,6,5,4,3,5000,5000,5000,5000,5000,5000,14673.91
100809203,1,Q003,7,6,5,4,3,2,3000,3000,3000,3000,3000,3000,8950.27
100809205,1,Q003,7,6,5,4,3,2,7000,7000,7000,7000,7000,7000,20883.97
100835004,1,Q003,10,9,8,7,6,5,2800,3500,3800,3000,3000,3000,9342.39
100838305,1,Q003,8,7,6,5,4,3,1000,1000,1000,1000,1000,1000,2934.78
100846204,1,Q004,7,6,5,4,3,2,4000,0,0,0,0,0,1988.95
100846205,1,Q003,7,6,5,4,3,2,3500,3000,2800,3000,3000,2900,9049.72
100846206,1,Q005,7,6,5,4,3,2,1000,0,0,0,0,0,497.23
100846206,1,Q002,7,6,5,4,3,2,1000,0,0,0,0,0,497.23
100878504,1,Q004,8,7,6,5,4,3,2600,2600,2600,2600,2600,2600,7630.43
100878504,1,Q003,8,7,6,5,4,3,200,600,0,0,0,0,391.3
100878505,1,Q003,8,7,6,5,4,3,3000,4000,2000,4000,3000,4000,9782.6
100885002,1,Q004,10,9,8,7,6,5,400,400,400,400,400,400,1173.91
100885006,1,Q003,10,9,8,7,6,5,450,450,450,450,450,450,1320.65
100895706,1,Q003,9,8,7,6,5,4,22750,19000,23000,21800,19500,17300,60663.93
100898905,1,Q003,10,9,8,7,6,5,300,300,300,300,300,300,880.43
100898905,1,Q004,10,9,8,7,6,5,15000,15000,15000,15000,15000,15000,44021.73
100898906,1,Q003,10,9,8,7,6,5,10000,10000,10000,10000,10000,10000,29347.82
100901201,1,Q003,7,6,5,4,3,2,4000,4000,4000,4000,4000,4000,11933.7
100901203,1,Q003,7,6,5,4,3,2,25000,25000,25000,25000,25000,25000,74585.63
100901203,1,Q004,7,6,5,4,3,2,6000,6000,6000,6000,6000,6000,17900.55
100910404,1,Q003,8,7,6,5,4,3,3000,0,1000,1500,0,0,2690.21
100922602,1,Q003,10,9,8,7,6,5,2500,2500,2500,2500,2500,2500,7377.04
100922603,1,Q003,10,9,8,7,6,5,1800,1800,1800,0,0,0,2655.73
100922606,1,Q003,10,9,8,7,6,5,3000,3000,3000,3000,3000,3000,8852.45
100929704,1,Q004,9,8,7,6,5,4,4000,4000,4000,4000,4000,4000,11803.27
100929705,1,Q003,9,8,7,6,5,4,2000,2000,2000,0,0,0,2950.81
100929706,1,Q004,9,8,7,6,5,4,19000,19000,19000,19000,19000,19000,56065.57
100929706,1,Q003,9,8,7,6,5,4,9000,9000,9000,9000,9000,9000,26557.37
100936801,1,Q003,9,8,7,6,5,4,5000,5000,5000,5000,5000,5000,14754.09
100936801,1,Q005,9,8,7,6,5,4,300,300,300,300,300,300,885.24
100936801,1,Q004,9,8,7,6,5,4,1000,1000,1000,1000,1000,1000,2950.81
100936803,1,Q004,9,8,7,6,5,4,4500,4500,4500,4500,4500,4500,13278.68
100936804,1,Q003,10,9,8,7,6,5,3200,3200,3200,3200,3200,3200,9442.62
100936804,1,Q004,10,9,8,7,6,5,10000,0,0,0,0,0,4918.03
100938001,1,Q003,10,9,8,7,6,5,700,0,0,0,0,0,342.39
100938003,1,Q003,10,9,8,7,6,5,479,0,0,0,0,0,234.29
100938003,1,Q004,10,9,8,7,6,5,1500,1500,1500,1500,1500,1500,4402.17
100938004,1,Q004,10,9,8,7,6,5,6300,6300,6300,6300,6300,6300,18489.13
100938006,1,Q003,10,9,8,7,6,5,4000,4000,2500,2500,2500,2500,8804.34
100938006,1,Q004,10,9,8,7,6,5,1000,1000,1000,1000,1000,1000,2934.78
100956602,1,Q003,9,8,7,6,5,4,2000,2000,2000,2000,2000,2000,5901.63
100956604,1,Q004,9,8,7,6,5,4,2180,2180,2180,2180,2180,2180,6432.78
100956606,1,Q003,9,8,7,6,5,4,400,400,400,400,400,400,1180.32
100956606,1,Q002,9,8,7,6,5,4,600,500,300,0,0,0,688.52
100969302,1,Q003,8,7,6,5,4,3,500,500,500,500,500,500,1467.39
100969303,1,Q011,8,7,6,5,4,3,1000,1000,1000,1000,1000,1000,2934.78
100969303,1,Q004,8,7,6,5,4,3,500,500,500,0,0,0,733.69
100972301,1,Q003,8,7,6,5,4,3,300,4000,0,0,0,0,2103.26
100972305,1,Q004,8,7,6,5,4,3,3400,3400,3400,3400,3400,3400,9978.26
100972305,1,Q005,8,7,6,5,4,3,375,375,375,0,0,0,550.27
100979506,1,Q003,8,7,6,5,4,3,5000,5000,5000,5000,5000,5000,14673.91
100979506,1,Q005,8,7,6,5,4,3,10000,10000,10000,10000,10000,10000,29347.82
100995701,1,Q004,9,8,7,6,5,4,4500,4500,4500,4500,4500,4500,13278.68
100995701,1,Q003,9,8,7,6,5,4,1200,2000,1000,1200,1500,1500,4131.14
100995704,1,Q002,9,8,7,6,5,4,3000,3000,3000,3000,3000,3000,8852.45
100995704,1,Q003,9,8,7,6,5,4,600,600,600,600,600,600,1770.49
101028901,1,Q003,10,9,8,7,6,5,2000,0,2000,0,2000,0,2934.78
101028903,1,Q011,10,9,8,7,6,5,3000,3000,3000,0,0,0,4402.17
101038204,1,Q004,7,6,5,4,3,2,2500,2500,2500,2500,2500,2500,7458.56
101039404,1,Q002,8,7,6,5,4,3,1000,1000,1000,1000,1000,1000,2934.78
101040603,1,Q004,9,8,7,6,5,4,4000,4000,4000,4000,4000,4000,11803.27
101040605,1,Q004,9,8,7,6,5,4,3600,3720,3720,3600,3720,3600,10799.99
101041804,1,Q004,9,8,7,6,5,4,10500,10500,10500,10500,10500,10500,30983.6
101044005,1,Q003,10,9,8,7,6,5,3000,1000,5000,4000,2000,5000,9782.6
101048301,1,Q003,8,7,6,5,4,3,12000,12000,12000,12000,12000,12000,35217.39
101048301,1,Q004,8,7,6,5,4,3,7000,7000,7000,7000,7000,7000,20543.47
101050503,1,Q003,9,8,7,6,5,4,2000,1500,2000,1500,2000,2000,5380.43
101059701,1,Q003,9,8,7,6,5,4,200,280,250,230,200,290,713.11
101059701,1,Q005,9,8,7,6,5,4,0,5000,0,0,0,0,2459.01
101059702,1,Q003,9,8,7,6,5,4,1760,1760,1760,1760,0,0,3462.29
101059704,1,Q004,9,8,7,6,5,4,1600,1600,1600,1600,1600,1600,4721.31
101059705,1,Q003,9,8,7,6,5,4,2000,2000,2000,2000,2000,2000,5901.63
101059706,1,Q003,9,8,7,6,5,4,1000,1000,1000,1000,1000,1000,2950.81
101064906,1,Q004,10,9,8,7,6,5,5200,5200,5200,5200,5200,5200,15260.86
101076503,1,Q003,8,7,6,5,4,3,8000,8000,8000,8000,8000,8000,23478.26
101084705,1,Q005,9,8,7,6,5,4,800,800,800,800,800,800,2360.65
101084706,1,Q002,10,9,8,7,6,5,2000,2000,2000,0,0,0,2950.81
101092202,1,Q004,10,9,8,7,6,5,5000,5000,5000,5000,5000,5000,14917.12
101092202,1,Q003,10,9,8,7,6,5,5000,5000,5000,5000,5000,5000,14917.12
101092204,1,Q011,10,9,8,7,6,5,2700,2700,2700,2700,2700,2700,8055.24
101097402,1,Q003,8,7,6,5,4,3,15000,7000,5000,8000,2000,3000,19565.21
101107603,1,Q004,9,8,7,6,5,4,4000,4000,4000,4000,4000,4000,11803.27
101107604,1,Q004,9,8,7,6,5,4,3000,0,0,0,0,0,1475.4
